observed,observed_source,aqi,band,governing_pollutant,worst_station,station_mean,stations_reporting,stations_above_limit,aqi_limit,source,revisions,first_seen,last_checked
2026-09-01T00:00:00+05:30,01-09-2026 00:00:00,219,Poor,PM10,"Wazirpur, Delhi - DPCC",112,42,30,100,mirror,1,2026-08-31T19:12:26.382Z,2026-08-31T19:56:53.775Z
2026-09-01T01:00:00+05:30,01-09-2026 01:00:00,221,Poor,PM10,"Wazirpur, Delhi - DPCC",113,43,31,100,mirror,1,2026-08-31T20:12:19.123Z,2026-08-31T20:56:57.231Z
2026-09-01T02:00:00+05:30,01-09-2026 02:00:00,223,Poor,PM10,"Wazirpur, Delhi - DPCC",114,43,31,100,mirror,1,2026-08-31T21:12:31.983Z,2026-08-31T21:57:06.630Z
2026-09-01T03:00:00+05:30,01-09-2026 03:00:00,224,Poor,PM10,"Wazirpur, Delhi - DPCC",116,43,33,100,mirror,0,2026-08-31T22:12:30.940Z,2026-08-31T22:56:58.900Z
2026-09-01T04:00:00+05:30,01-09-2026 04:00:00,225,Poor,PM10,"Wazirpur, Delhi - DPCC",116,43,32,100,mirror,0,2026-08-31T23:12:11.757Z,2026-08-31T23:56:56.261Z
2026-09-01T05:00:00+05:30,01-09-2026 05:00:00,224,Poor,PM10,"Wazirpur, Delhi - DPCC",116,43,31,100,mirror,2,2026-09-01T00:16:46.279Z,2026-09-01T02:59:45.366Z
2026-09-01T09:00:00+05:30,01-09-2026 09:00:00,223,Poor,PM10,"Wazirpur, Delhi - DPCC",115,43,30,100,mirror,0,2026-09-01T03:59:05.764Z,2026-09-01T03:59:05.764Z
2026-09-01T10:00:00+05:30,01-09-2026 10:00:00,228,Poor,PM10,"Wazirpur, Delhi - DPCC",115,43,30,100,mirror,0,2026-09-01T05:19:23.946Z,2026-09-01T05:19:23.946Z
2026-09-01T11:00:00+05:30,01-09-2026 11:00:00,238,Poor,PM10,"Wazirpur, Delhi - DPCC",115,43,29,100,mirror,0,2026-09-01T06:16:41.087Z,2026-09-01T06:16:41.087Z
2026-09-01T12:00:00+05:30,01-09-2026 12:00:00,236,Poor,PM10,"Wazirpur, Delhi - DPCC",115,43,28,100,mirror,1,2026-09-01T07:03:21.114Z,2026-09-01T07:58:28.460Z
2026-09-01T13:00:00+05:30,01-09-2026 13:00:00,233,Poor,PM10,"Wazirpur, Delhi - DPCC",114,43,27,100,mirror,0,2026-09-01T08:16:41.551Z,2026-09-01T08:16:41.551Z
2026-09-01T14:00:00+05:30,01-09-2026 14:00:00,231,Poor,PM10,"Wazirpur, Delhi - DPCC",113,43,27,100,mirror,1,2026-09-01T09:17:52.692Z,2026-09-01T09:59:52.430Z
2026-09-01T15:00:00+05:30,01-09-2026 15:00:00,220,Poor,PM10,"Wazirpur, Delhi - DPCC",112,43,27,100,mirror,0,2026-09-01T10:16:40.532Z,2026-09-01T10:16:40.532Z
