date,peak_aqi,peak_band,peak_governing_pollutant,peak_station,peak_observed,hours_observed,hours_above_limit,aqi_limit,revisions
2026-08-25,171,Moderately Polluted,PM2.5,"Anand Vihar, Delhi - DPCC",2026-08-25T21:00:00+05:30,1,1,100,0
2026-08-26,256,Poor,PM10,"Anand Vihar, Delhi - DPCC",2026-08-26T23:00:00+05:30,5,5,100,1
2026-08-27,311,Very Poor,PM10,"Anand Vihar, Delhi - DPCC",2026-08-27T05:00:00+05:30,2,2,100,2
2026-08-28,299,Poor,PM2.5,"Anand Vihar, Delhi - DPCC",2026-08-28T23:00:00+05:30,15,15,100,2
2026-08-29,437,Severe,PM10,"Anand Vihar, Delhi - DPCC",2026-08-29T20:00:00+05:30,21,21,100,3
2026-08-30,430,Severe,PM10,"Anand Vihar, Delhi - DPCC",2026-08-30T16:00:00+05:30,21,21,100,9
2026-08-31,237,Poor,PM10,"Wazirpur, Delhi - DPCC",2026-08-31T17:00:00+05:30,20,20,100,12
2026-09-01,238,Poor,PM10,"Wazirpur, Delhi - DPCC",2026-09-01T11:00:00+05:30,21,21,100,8
2026-09-02,195,Moderately Polluted,PM10,"Wazirpur, Delhi - DPCC",2026-09-02T00:00:00+05:30,21,21,100,4
2026-09-03,204,Poor,PM10,"Aya Nagar, Delhi - IITM",2026-09-03T16:00:00+05:30,21,21,100,5
2026-09-04,156,Moderately Polluted,PM10,"Aya Nagar, Delhi - IITM",2026-09-04T00:00:00+05:30,21,21,100,4
2026-09-05,122,Moderately Polluted,CO,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-09-05T22:00:00+05:30,5,4,100,2
2026-09-06,161,Moderately Polluted,OZONE,"NSIT Dwarka, Delhi - CPCB",2026-09-06T04:00:00+05:30,16,6,100,1
2026-09-07,178,Moderately Polluted,PM10,"Dwarka-Sector 8, Delhi - DPCC",2026-09-07T22:00:00+05:30,16,16,100,0
2026-09-08,213,Poor,PM10,"Wazirpur, Delhi - DPCC",2026-09-08T21:00:00+05:30,16,16,100,0
2026-09-09,229,Poor,PM2.5,"Bawana, Delhi - DPCC",2026-09-09T13:00:00+05:30,14,14,100,1
2026-09-10,254,Poor,PM2.5,"Bawana, Delhi - DPCC",2026-09-10T10:00:00+05:30,6,6,100,0
2026-09-11,201,Poor,OZONE,"IGI Airport (T3), Delhi - IITM",2026-09-11T19:00:00+05:30,11,11,100,0
